subject,session,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
AN13MA,1,10,gestures/dog_POS.mp4,to_th,o,S,dog,1,9,1.5892409,o,TRUE
AN13MA,1,11,gestures/horse_PL.mp4,k_ck,i,S,horse,1,10,1.6690533,i,TRUE
AN13MA,1,12,gestures/boy_POS.mp4,bo_k,o,S,boy,1,11,1.3445865,o,TRUE
AN13MA,1,13,gestures/baby_POS.mp4,bl_nket,a,S,baby,1,12,1.8457482,a,TRUE
AN13MA,1,14,gestures/dog_PL.mp4,b_rk,a,S,dog,1,13,2.427821,a,TRUE
AN13MA,1,15,gestures/car_PL.mp4,cr_sh,a,S,car,1,14,1.4744037,a,TRUE
AN13MA,1,16,gestures/horse_PL.mp4,w_lk,a,S,horse,1,15,1.7638346,a,TRUE
AN13MA,1,17,gestures/frog_POS.mp4,fo_t,o,S,frog,1,16,1.5840361,o,TRUE
AN13MA,1,18,gestures/boy_PL.mp4,po_nt,i,S,boy,1,17,2.1201398,i,TRUE
AN13MA,1,19,gestures/cat_PL.mp4,sl_ep,e,S,cat,1,18,1.7530273,e,TRUE
AN13MA,1,20,gestures/cat_PL.mp4,lo_k,o,S,cat,1,19,1.3832806,o,TRUE
AN13MA,1,21,gestures/frog_PL.mp4,list_n,e,S,frog,1,20,2.7018845,e,TRUE
AN13MA,1,22,gestures/dog_POS.mp4,n_ck,e,S,dog,1,21,4.976381,i,FALSE
AN13MA,1,23,gestures/horse_POS.mp4,mo_th,u,S,horse,1,22,2.404712,u,TRUE
AN13MA,1,24,gestures/car_PL.mp4,m_ve,o,S,car,1,23,1.401445,o,TRUE
AN13MA,1,25,gestures/baby_PL.mp4,cr_wl,a,S,baby,1,24,1.5701941,a,TRUE
AN13MA,1,26,gestures/girl_PL.mp4,h_g,u,S,girl,1,25,1.5038415,u,TRUE
AN13MA,1,27,gestures/dog_PL.mp4,pl_y,a,S,dog,1,26,1.3410928,a,TRUE
AN13MA,1,28,gestures/car_POS.mp4,wind_w,o,S,car,1,27,2.4795537,o,TRUE
AN13MA,1,29,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1,28,2.5426784,i,TRUE
AN13MA,1,30,gestures/boy_PL.mp4,w_ve,a,S,boy,1,29,2.0019271,a,TRUE
AN13MA,1,31,gestures/cat_POS.mp4,ta_l,i,S,cat,1,30,2.6777675,i,TRUE
AN13MA,1,32,gestures/frog_PL.mp4,j_mp,u,S,frog,1,31,1.2062473,u,TRUE
AN13MA,1,33,gestures/dog_S.mp4,pl_y,a,G,dog,1,32,1.1099912,a,TRUE
AN13MA,1,34,gestures/baby_S.mp4,cr_wl,a,G,baby,1,33,1.1515455000000001,a,TRUE
AN13MA,1,35,gestures/cat_S.mp4,lo_k,o,G,cat,1,34,1.3131444,o,TRUE
AN13MA,1,36,gestures/baby_S.mp4,sm_le,i,G,baby,1,35,1.2059604,i,TRUE
AN13MA,1,37,gestures/horse_S.mp4,mo_th,u,G,horse,1,36,1.6542075,u,TRUE
AN13MA,1,38,gestures/horse_S.mp4,w_lk,a,G,horse,1,37,2.2275364,a,TRUE
AN13MA,1,39,gestures/cat_S.mp4,sl_ep,e,G,cat,1,38,1.1703726,e,TRUE
AN13MA,1,40,gestures/baby_S.mp4,t_ddy,e,G,baby,1,39,2.3620322,e,TRUE
AN13MA,1,41,gestures/dog_S.mp4,n_ck,e,G,dog,1,40,1.6444088,e,TRUE
AN13MA,1,42,gestures/car_S.mp4,cr_sh,a,G,car,1,41,1.9020338,a,TRUE
AN13MA,1,43,gestures/horse_S.mp4,h_ad,e,G,horse,1,42,2.6465094,e,TRUE
AN13MA,1,44,gestures/baby_S.mp4,bl_nket,a,G,baby,1,43,1.2519081,a,TRUE
AN13MA,1,45,gestures/boy_S.mp4,w_ve,a,G,boy,1,44,2.457576,a,TRUE
AN13MA,1,46,gestures/dog_S.mp4,b_rk,a,G,dog,1,45,2.6248422,e,FALSE
AN13MA,1,47,gestures/girl_S.mp4,ha_r,i,G,girl,1,46,1.8887427,i,TRUE
AN13MA,1,48,gestures/frog_S.mp4,j_mp,u,G,frog,1,47,1.2969639,u,TRUE
AN13MA,1,49,gestures/frog_S.mp4,list_n,e,G,frog,1,48,1.9024167,e,TRUE
AN13MA,1,50,gestures/car_S.mp4,wind_w,o,G,car,1,49,1.700928,o,TRUE
AN13MA,1,51,gestures/car_S.mp4,whe_l,e,G,car,1,50,1.5725441,e,TRUE
AN13MA,1,52,gestures/girl_S.mp4,wh_stle,i,G,girl,1,51,2.905628,i,TRUE
AN13MA,1,53,gestures/boy_S.mp4,po_nt,i,G,boy,1,52,1.353201,i,TRUE
AN13MA,1,54,gestures/frog_S.mp4,tong_e,u,G,frog,1,53,4.1438293,i,FALSE
AN13MA,1,55,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1,54,1.4111153,i,TRUE
AN13MA,1,56,gestures/boy_S.mp4,bo_k,o,G,boy,1,55,1.4389473,o,TRUE
AN13MA,1,57,gestures/horse_S.mp4,k_ck,i,G,horse,1,56,1.2964479,i,TRUE
AN13MA,1,58,gestures/girl_S.mp4,h_g,u,G,girl,1,57,1.5255849,u,TRUE
AN13MA,1,59,gestures/girl_S.mp4,dr_ss,e,G,girl,1,58,1.3610247,e,TRUE
AN13MA,1,60,gestures/cat_S.mp4,n_se,o,G,cat,1,59,1.3284866,o,TRUE
AN13MA,1,61,gestures/frog_S.mp4,fo_t,o,G,frog,1,60,1.2508907,o,TRUE
AN13MA,1,62,gestures/car_S.mp4,m_ve,o,G,car,1,61,1.1163607,o,TRUE
AN13MA,1,63,gestures/dog_S.mp4,to_th,o,G,dog,1,62,1.3571723,o,TRUE
AN13MA,1,64,gestures/cat_S.mp4,ta_l,i,G,cat,1,63,1.6077818,i,TRUE
AN13MA,2,1,gestures/baby_S.mp4,sm_le,i,G,baby,1,0,1.5948876,i,TRUE
AN13MA,2,2,gestures/girl_S.mp4,ha_r,i,G,girl,1,1,1.7289712,i,TRUE
AN13MA,2,3,gestures/dog_S.mp4,pl_y,a,G,dog,1,2,1.486713,a,TRUE
AN13MA,2,4,gestures/baby_S.mp4,cr_wl,a,G,baby,1,3,1.7120881,a,TRUE
AN13MA,2,5,gestures/dog_S.mp4,b_rk,a,G,dog,1,4,3.0315936,a,TRUE
AN13MA,2,6,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1,5,1.9058584,i,TRUE
AN13MA,2,7,gestures/girl_S.mp4,h_g,u,G,girl,1,6,1.4828149,u,TRUE
AN13MA,2,8,gestures/car_S.mp4,wind_w,o,G,car,1,7,2.2574658,o,TRUE
AN13MA,2,9,gestures/dog_S.mp4,n_ck,e,G,dog,1,8,1.7065003,a,FALSE
AN13MA,2,10,gestures/boy_S.mp4,po_nt,i,G,boy,1,9,1.4843173,i,TRUE
AN13MA,2,11,gestures/horse_S.mp4,k_ck,i,G,horse,1,10,1.4091985,i,TRUE
AN13MA,2,12,gestures/horse_S.mp4,h_ad,e,G,horse,1,11,4.995819,e,TRUE
AN13MA,2,13,gestures/cat_S.mp4,lo_k,o,G,cat,1,12,1.4356596,o,TRUE
AN13MA,2,14,gestures/baby_S.mp4,t_ddy,e,G,baby,1,13,1.5314548,e,TRUE
AN13MA,2,15,gestures/girl_S.mp4,dr_ss,e,G,girl,1,14,1.4514272,e,TRUE
AN13MA,2,16,gestures/boy_S.mp4,w_ve,a,G,boy,1,15,1.7260584,a,TRUE
AN13MA,2,17,gestures/frog_S.mp4,tong_e,u,G,frog,1,16,2.8241045,u,TRUE
AN13MA,2,18,gestures/cat_S.mp4,sl_ep,e,G,cat,1,17,2.9947805,e,TRUE
AN13MA,2,19,gestures/car_S.mp4,cr_sh,a,G,car,1,18,1.7594395,a,TRUE
AN13MA,2,20,gestures/car_S.mp4,m_ve,o,G,car,1,19,1.6578348,o,TRUE
