"","subject","TrialNumber","gestures","target","corrAns","condition","gestureSet","ran","order","RT","answer","correct","age"
"174","B19",46,"gestures/horse_POS.mp4","h_ad","e","S","horse",1,45,1.0353761,"e",TRUE,19
"175","B19",47,"gestures/dog_PL.mp4","b_rk","a","S","dog",1,46,1.1424652,"a",TRUE,19
"176","B19",48,"gestures/dog_POS.mp4","to_th","o","S","dog",1,47,1.34367,"o",TRUE,19
"177","B19",49,"gestures/frog_PL.mp4","list_n","e","S","frog",1,48,1.2851424,"e",TRUE,19
"178","B19",50,"gestures/girl_POS.mp4","ha_r","i","S","girl",1,49,1.5700237,"i",TRUE,19
"179","B19",51,"gestures/car_PL.mp4","cr_sh","a","S","car",1,50,1.040083,"a",TRUE,19
"180","B19",52,"gestures/cat_PL.mp4","sl_ep","e","S","cat",1,51,1.0658588,"e",TRUE,19
"181","B19",53,"gestures/baby_PL.mp4","cr_wl","a","S","baby",1,52,0.8875637,"a",TRUE,19
"182","B19",54,"gestures/car_PL.mp4","m_ve","o","S","car",1,53,1.5851008,"a",FALSE,19
"183","B19",55,"gestures/frog_POS.mp4","fo_t","o","S","frog",1,54,1.2811385,"o",TRUE,19
"184","B19",56,"gestures/dog_PL.mp4","pl_y","a","S","dog",1,55,0.9693385,"a",TRUE,19
"185","B19",57,"gestures/baby_PL.mp4","sm_le","i","S","baby",1,56,1.3691051,"i",TRUE,19
"186","B19",58,"gestures/cat_POS.mp4","ta_l","i","S","cat",1,57,1.126725,"i",TRUE,19
"187","B19",59,"gestures/girl_PL.mp4","wh_stle","i","S","girl",1,58,1.124739,"i",TRUE,19
"188","B19",60,"gestures/boy_PL.mp4","w_ve","a","S","boy",1,59,1.641101,"a",TRUE,19
"189","B19",61,"gestures/boy_PL.mp4","po_nt","i","S","boy",1,60,1.0897676,"i",TRUE,19
"190","B19",62,"gestures/cat_POS.mp4","n_se","o","S","cat",1,61,1.2554508,"o",TRUE,19
"191","B19",63,"gestures/horse_POS.mp4","mo_th","u","S","horse",1,62,1.5577546,"u",TRUE,19
"192","B19",64,"gestures/dog_POS.mp4","n_ck","e","S","dog",1,63,2.245736,"e",TRUE,19
"193","D19",1,"gestures/boy_PL.mp4","po_nt","i","S","boy",1,0,1.4872091,"i",TRUE,19
"194","D19",2,"gestures/girl_PL.mp4","wh_stle","i","S","girl",1,1,1.44603,"i",TRUE,19
"195","D19",3,"gestures/boy_PL.mp4","w_ve","a","S","boy",1,2,1.1391594,"a",TRUE,19
"196","D19",4,"gestures/car_POS.mp4","whe_l","e","S","car",1,3,1.7979043,"e",TRUE,19
"197","D19",5,"gestures/baby_PL.mp4","cr_wl","a","S","baby",1,4,1.4060026,"a",TRUE,19
"198","D19",6,"gestures/frog_PL.mp4","j_mp","u","S","frog",1,5,1.2798413,"u",TRUE,19
"199","D19",7,"gestures/car_PL.mp4","cr_sh","a","S","car",1,6,1.3124136,"a",TRUE,19
"200","D19",8,"gestures/car_POS.mp4","wind_w","o","S","car",1,7,1.518929,"o",TRUE,19
"201","D19",9,"gestures/frog_POS.mp4","tong_e","u","S","frog",1,8,1.7544624,"u",TRUE,19
"202","D19",10,"gestures/girl_POS.mp4","ha_r","i","S","girl",1,9,1.2344209,"i",TRUE,19
