"","subject","TrialNumber","gestures","target","corrAns","condition","gestureSet","ran","order","RT","answer","correct"
"25","D01",25,"gestures/girl_S.mp4","h_g","u","G","girl",1,24,1.1040591,"u",TRUE
"26","D01",26,"gestures/car_S.mp4","cr_sh","a","G","car",1,25,1.097541,"a",TRUE
"27","D01",27,"gestures/dog_S.mp4","to_th","o","G","dog",1,26,1.0597878,"o",TRUE
"28","D01",28,"gestures/horse_S.mp4","k_ck","i","G","horse",1,27,0.93782574,"i",TRUE
"29","D01",29,"gestures/cat_S.mp4","n_se","o","G","cat",1,28,1.1774458,"o",TRUE
"30","D01",30,"gestures/car_S.mp4","wind_w","o","G","car",1,29,0.99020475,"o",TRUE
"31","D01",31,"gestures/dog_S.mp4","b_rk","a","G","dog",1,30,1.0132406,"a",TRUE
"32","D01",32,"gestures/car_S.mp4","whe_l","e","G","car",1,31,0.9194899,"e",TRUE
"33","D01",33,"gestures/frog_PL.mp4","j_mp","u","S","frog",1,32,1.0815463,"u",TRUE
"34","D01",34,"gestures/horse_POS.mp4","mo_th","u","S","horse",1,33,1.0546775,"o",FALSE
"35","D01",35,"gestures/cat_PL.mp4","lo_k","o","S","cat",1,34,0.97529495,"o",TRUE
"36","D01",36,"gestures/horse_PL.mp4","w_lk","a","S","horse",1,35,1.0682445,"a",TRUE
"37","D01",37,"gestures/cat_POS.mp4","ta_l","i","S","cat",1,36,1.0076069,"i",TRUE
"38","D01",38,"gestures/dog_POS.mp4","n_ck","e","S","dog",1,37,1.3170886,"e",TRUE
"39","D01",39,"gestures/car_PL.mp4","cr_sh","a","S","car",1,38,1.046191,"a",TRUE
"40","D01",40,"gestures/frog_POS.mp4","fo_t","o","S","frog",1,39,0.9588609,"o",TRUE
"41","D01",41,"gestures/baby_POS.mp4","bl_nket","a","S","baby",1,40,1.0363559,"a",TRUE
"42","D01",42,"gestures/cat_PL.mp4","sl_ep","e","S","cat",1,41,1.0260966,"e",TRUE
"43","D01",43,"gestures/boy_PL.mp4","w_ve","a","S","boy",1,42,1.2382853,"a",TRUE
"44","D01",44,"gestures/baby_PL.mp4","sm_le","i","S","baby",1,43,1.0016537,"i",TRUE
"45","D01",45,"gestures/boy_POS.mp4","t-sh_rt","i","S","boy",1,44,1.0644258,"i",TRUE
"46","D01",46,"gestures/frog_POS.mp4","tong_e","u","S","frog",1,45,0.9357221,"u",TRUE
"47","D01",47,"gestures/cat_POS.mp4","n_se","o","S","cat",1,46,1.0085326,"o",TRUE
"48","D01",48,"gestures/horse_POS.mp4","h_ad","e","S","horse",1,47,0.97969776,"e",TRUE
"49","D01",49,"gestures/baby_PL.mp4","cr_wl","a","S","baby",1,48,1.0726544,"a",TRUE
